x_real,dataset_0
0.0,0.05660173160173206
0.001984126984126984,0.05636273448773482
0.003968253968253968,0.05646838280766886
0.005952380952380952,0.056918676561533994
0.007936507936507936,0.057713615749331586
0.00992063492063492,0.0588280766852209
0.011904761904761904,0.06061894454751737
0.013888888888888888,0.062364718614720094
0.015873015873015872,0.06420068027211032
0.017857142857142856,0.06619769119769257
0.01984126984126984,0.06773088023088174
0.021825396825396824,0.06972789115646398
0.023809523809523808,0.07142857142857278
0.025793650793650792,0.07312925170068174
0.027777777777777776,0.075126262626264
0.02976190476190476,0.076659451659453
0.031746031746031744,0.07865646258503542
0.03373015873015873,0.08035714285714421
0.03571428571428571,0.08205782312925318
0.037698412698412696,0.08405483405483542
0.03968253968253968,0.08558802308802442
0.041666666666666664,0.08758503401360684
0.04365079365079365,0.08928571428571563
0.04563492063492063,0.09098639455782444
0.047619047619047616,0.09298340548340686
0.0496031746031746,0.09451659451659584
0.051587301587301584,0.09651360544217827
0.05357142857142857,0.09821428571428707
0.05555555555555555,0.09991496598639586
0.057539682539682536,0.10191197691197829
0.05952380952380952,0.10344516594516728
0.061507936507936505,0.10544217687074971
0.06349206349206349,0.1071428571428585
0.06547619047619047,0.10884353741496727
0.06746031746031746,0.11084054834054971
0.06944444444444445,0.11237373737373871
0.07142857142857142,0.11437074829932113
0.0734126984126984,0.11607142857142991
0.07539682539682539,0.11777210884353873
0.07738095238095238,0.11976911976912115
0.07936507936507936,0.12130230880231013
0.08134920634920634,0.12329931972789254
0.08333333333333333,0.12500000000000136
0.08531746031746032,0.12670068027211015
0.0873015873015873,0.12869769119769256
0.08928571428571427,0.13023088023088156
0.09126984126984126,0.132227891156464
0.09325396825396826,0.13392857142857278
0.09523809523809523,0.13562925170068157
0.09722222222222221,0.13762626262626398
0.0992063492063492,0.13915945165945298
0.10119047619047619,0.14115646258503542
0.10317460317460317,0.1428571428571442
0.10515873015873015,0.144557823129253
0.10714285714285714,0.14655483405483544
0.10912698412698413,0.14808802308802443
0.1111111111111111,0.15008503401360684
0.11309523809523808,0.15178571428571563
0.11507936507936507,0.15348639455782442
0.11706349206349206,0.15548340548340686
0.11904761904761904,0.15701659451659586
0.12103174603174602,0.15901360544217824
0.12301587301587301,0.16071428571428706
0.125,0.16241496598639588
0.12698412698412698,0.16441197691197829
0.12896825396825395,0.16594516594516726
0.13095238095238093,0.1679421768707495
0.13293650793650794,0.16964285714285848
0.1349206349206349,0.1713435374149673
0.1369047619047619,0.17334054834054968
0.1388888888888889,0.1748737373737387
0.14087301587301587,0.17687074829932112
0.14285714285714285,0.17857142857142994
0.14484126984126983,0.1802721088435387
0.1468253968253968,0.1822691197691211
0.1488095238095238,0.18380230880231013
0.15079365079365079,0.18579931972789257
0.15277777777777776,0.18750000000000133
0.15476190476190477,0.18920068027211015
0.15674603174603174,0.19119769119769256
0.15873015873015872,0.19273088023088156
0.1607142857142857,0.19472789115646397
0.16269841269841268,0.19642857142857276
0.16468253968253968,0.19812925170068157
0.16666666666666666,0.200126262626264
0.16865079365079363,0.20165945165945295
0.17063492063492064,0.2036564625850351
0.17261904761904762,0.2053571428571442
0.1746031746031746,0.207057823129253
0.17658730158730157,0.2090548340548354
0.17857142857142855,0.2105880230880244
0.18055555555555555,0.21258503401360668
0.18253968253968253,0.21428571428571563
0.1845238095238095,0.2159863945578244
0.1865079365079365,0.21798340548340686
0.1884920634920635,0.21951659451659586
0.19047619047619047,0.2215136054421781
0.19246031746031744,0.22321428571428686
0.19444444444444442,0.22491496598639585
0.19642857142857142,0.22691197691197812
0.1984126984126984,0.22844516594516712
0.20039682539682538,0.2304421768707495
0.20238095238095238,0.23214285714285832
0.20436507936507936,0.2338435374149673
0.20634920634920634,0.23584054834054954
0.20833333333333331,0.2373737373737385
0.2103174603174603,0.23937074829932076
0.2123015873015873,0.24107142857142977
0.21428571428571427,0.24277210884353873
0.21626984126984125,0.24476911976912094
0.21825396825396826,0.24630230880231013
0.22023809523809523,0.24829931972789238
0.2222222222222222,0.25000000000000133
0.2242063492063492,0.2517006802721101
0.22619047619047616,0.25369769119769237
0.22817460317460317,0.2552308802308816
0.23015873015873015,0.25722789115646366
0.23214285714285712,0.2589285714285726
0.23412698412698413,0.2606292517006816
0.2361111111111111,0.2626262626262638
0.23809523809523808,0.264159451659453
0.24007936507936506,0.266156462585035
0.24206349206349204,0.267857142857144
0.24404761904761904,0.26955782312925286
0.24603174603174602,0.2715548340548351
0.248015873015873,0.27308802308802427
0.25,0.2750850340136065
0.251984126984127,0.2767857142857153
0.25396825396825395,0.2784863945578244
0.25595238095238093,0.28048340548340667
0.2579365079365079,0.2820165945165956
0.2599206349206349,0.28401360544217785
0.26190476190476186,0.28571428571428686
0.2638888888888889,0.2874149659863957
0.26587301587301587,0.2894119769119781
0.26785714285714285,0.2909451659451671
