dataset_id,x_real,y_real,confidence
dataset_0,0.0,0.05660173160173206,0.46729615457294027
dataset_0,0.001984126984126984,0.05636273448773482,0.46729615457294027
dataset_0,0.003968253968253968,0.05646838280766886,0.46729615457294027
dataset_0,0.005952380952380952,0.056918676561533994,0.46729615457294027
dataset_0,0.007936507936507936,0.057713615749331586,0.46729615457294027
dataset_0,0.00992063492063492,0.0588280766852209,0.46729615457294027
dataset_0,0.011904761904761904,0.06061894454751737,0.46729615457294027
dataset_0,0.013888888888888888,0.062364718614720094,0.46729615457294027
dataset_0,0.015873015873015872,0.06420068027211032,0.46729615457294027
dataset_0,0.017857142857142856,0.06619769119769257,0.46729615457294027
dataset_0,0.01984126984126984,0.06773088023088174,0.46729615457294027
dataset_0,0.021825396825396824,0.06972789115646398,0.46729615457294027
dataset_0,0.023809523809523808,0.07142857142857278,0.46729615457294027
dataset_0,0.025793650793650792,0.07312925170068174,0.46729615457294027
dataset_0,0.027777777777777776,0.075126262626264,0.46729615457294027
dataset_0,0.02976190476190476,0.076659451659453,0.46729615457294027
dataset_0,0.031746031746031744,0.07865646258503542,0.46729615457294027
dataset_0,0.03373015873015873,0.08035714285714421,0.46729615457294027
dataset_0,0.03571428571428571,0.08205782312925318,0.46729615457294027
dataset_0,0.037698412698412696,0.08405483405483542,0.46729615457294027
dataset_0,0.03968253968253968,0.08558802308802442,0.46729615457294027
dataset_0,0.041666666666666664,0.08758503401360684,0.46729615457294027
dataset_0,0.04365079365079365,0.08928571428571563,0.46729615457294027
dataset_0,0.04563492063492063,0.09098639455782444,0.46729615457294027
dataset_0,0.047619047619047616,0.09298340548340686,0.46729615457294027
dataset_0,0.0496031746031746,0.09451659451659584,0.46729615457294027
dataset_0,0.051587301587301584,0.09651360544217827,0.46729615457294027
dataset_0,0.05357142857142857,0.09821428571428707,0.46729615457294027
dataset_0,0.05555555555555555,0.09991496598639586,0.46729615457294027
dataset_0,0.057539682539682536,0.10191197691197829,0.46729615457294027
dataset_0,0.05952380952380952,0.10344516594516728,0.46729615457294027
dataset_0,0.061507936507936505,0.10544217687074971,0.46729615457294027
dataset_0,0.06349206349206349,0.1071428571428585,0.46729615457294027
dataset_0,0.06547619047619048,0.10884353741496729,0.46729615457294027
dataset_0,0.06746031746031746,0.11084054834054971,0.46729615457294027
dataset_0,0.06944444444444445,0.11237373737373871,0.46729615457294027
dataset_0,0.07142857142857142,0.11437074829932113,0.46729615457294027
dataset_0,0.07341269841269842,0.11607142857142992,0.46729615457294027
dataset_0,0.07539682539682539,0.11777210884353873,0.46729615457294027
dataset_0,0.07738095238095238,0.11976911976912115,0.46729615457294027
dataset_0,0.07936507936507936,0.12130230880231013,0.46729615457294027
dataset_0,0.08134920634920635,0.12329931972789256,0.46729615457294027
dataset_0,0.08333333333333333,0.12500000000000136,0.46729615457294027
dataset_0,0.08531746031746032,0.12670068027211015,0.46729615457294027
dataset_0,0.0873015873015873,0.12869769119769256,0.46729615457294027
dataset_0,0.08928571428571429,0.13023088023088156,0.46729615457294027
dataset_0,0.09126984126984126,0.132227891156464,0.46729615457294027
dataset_0,0.09325396825396826,0.13392857142857278,0.46729615457294027
dataset_0,0.09523809523809523,0.13562925170068157,0.46729615457294027
dataset_0,0.09722222222222222,0.137626262626264,0.46729615457294027
dataset_0,0.0992063492063492,0.13915945165945298,0.46729615457294027
dataset_0,0.10119047619047619,0.14115646258503542,0.46729615457294027
dataset_0,0.10317460317460317,0.1428571428571442,0.46729615457294027
dataset_0,0.10515873015873016,0.144557823129253,0.46729615457294027
dataset_0,0.10714285714285714,0.14655483405483544,0.46729615457294027
dataset_0,0.10912698412698413,0.14808802308802443,0.46729615457294027
dataset_0,0.1111111111111111,0.15008503401360684,0.46729615457294027
dataset_0,0.1130952380952381,0.15178571428571563,0.46729615457294027
dataset_0,0.11507936507936507,0.15348639455782442,0.46729615457294027
dataset_0,0.11706349206349206,0.15548340548340686,0.46729615457294027
dataset_0,0.11904761904761904,0.15701659451659586,0.46729615457294027
dataset_0,0.12103174603174603,0.15901360544217827,0.46729615457294027
dataset_0,0.12301587301587301,0.16071428571428706,0.46729615457294027
dataset_0,0.125,0.16241496598639588,0.46729615457294027
dataset_0,0.12698412698412698,0.16441197691197829,0.46729615457294027
dataset_0,0.12896825396825398,0.16594516594516728,0.46729615457294027
dataset_0,0.13095238095238096,0.16794217687074953,0.46729615457294027
dataset_0,0.13293650793650794,0.16964285714285848,0.46729615457294027
dataset_0,0.1349206349206349,0.1713435374149673,0.46729615457294027
dataset_0,0.13690476190476192,0.1733405483405497,0.46729615457294027
dataset_0,0.1388888888888889,0.1748737373737387,0.46729615457294027
dataset_0,0.14087301587301587,0.17687074829932112,0.46729615457294027
dataset_0,0.14285714285714285,0.17857142857142994,0.46729615457294027
dataset_0,0.14484126984126985,0.18027210884353873,0.46729615457294027
dataset_0,0.14682539682539683,0.18226911976912114,0.46729615457294027
dataset_0,0.1488095238095238,0.18380230880231013,0.46729615457294027
dataset_0,0.15079365079365079,0.18579931972789257,0.46729615457294027
dataset_0,0.1527777777777778,0.18750000000000136,0.46729615457294027
dataset_0,0.15476190476190477,0.18920068027211015,0.46729615457294027
dataset_0,0.15674603174603174,0.19119769119769256,0.46729615457294027
dataset_0,0.15873015873015872,0.19273088023088156,0.46729615457294027
dataset_0,0.16071428571428573,0.194727891156464,0.46729615457294027
dataset_0,0.1626984126984127,0.19642857142857278,0.46729615457294027
dataset_0,0.16468253968253968,0.19812925170068157,0.46729615457294027
dataset_0,0.16666666666666666,0.200126262626264,0.46729615457294027
dataset_0,0.16865079365079366,0.20165945165945298,0.46729615457294027
dataset_0,0.17063492063492064,0.2036564625850351,0.46729615457294027
dataset_0,0.17261904761904762,0.2053571428571442,0.46729615457294027
dataset_0,0.1746031746031746,0.207057823129253,0.46729615457294027
dataset_0,0.1765873015873016,0.20905483405483544,0.46729615457294027
dataset_0,0.17857142857142858,0.21058802308802443,0.46729615457294027
dataset_0,0.18055555555555555,0.21258503401360668,0.46729615457294027
